X,Y,LT,LD,SL,DD,RF,LULC,SO,AL,TWI,PC,Yields,Class
775751.0,9221212.0,18.0,0.405,7.209,1.975,3859.461,4.0,3.0,823.0,7.825,-3.0,10.0,3.0
782200.0,9210103.0,6.0,1.544,31.53,2.909,3499.5,1.0,2.0,1080.0,3.874,3.0,11.68,3.0
768134.0,9212199.0,12.0,0.446,8.878,0.932,3361.416,4.0,2.0,1402.0,10.701,-2.0,12.0,3.0
816512.0,9222777.0,5.0,0.0,8.207,1.973,4081.907,1.0,2.0,861.0,7.569,3.0,14.0,3.0
801982.0,9217528.0,6.0,0.0,2.429,2.926,3889.979,1.0,2.0,774.0,8.394,2.0,15.0,3.0
805741.0,9212399.0,3.0,0.589,15.218,4.799,3766.251,1.0,2.0,1122.0,5.103,2.0,15.0,3.0
805213.0,9215941.0,3.0,0.0,4.714,2.942,3873.548,1.0,2.0,812.0,8.177,0.0,15.0,3.0
803309.0,9214153.0,3.0,0.175,6.147,4.022,3800.491,1.0,2.0,833.0,6.048,3.0,15.0,3.0
784361.0,9207375.0,6.0,1.44,6.505,2.11,3411.686,1.0,2.0,1410.0,11.233,-1.0,15.85,3.0
817100.0,9222296.0,5.0,0.232,5.111,2.415,4107.179,4.0,2.0,894.0,5.481,1.0,16.0,3.0
815987.0,9222574.0,5.0,0.0,8.878,2.924,4074.584,4.0,2.0,874.0,5.613,-2.0,16.0,3.0
782005.0,9210456.0,6.0,1.518,33.101,2.865,3508.508,1.0,2.0,1023.0,20.199,3.0,16.0,3.0
795328.0,9239545.0,11.0,0.572,9.922,3.299,5093.019,1.0,3.0,948.0,3.924,-6.0,16.0,3.0
821010.0,9221386.0,11.0,0.615,21.801,3.163,4163.985,4.0,2.0,783.0,4.569,-3.0,16.4,3.0
785743.0,9212770.0,6.0,0.595,7.209,3.011,3688.734,1.0,2.0,1129.0,5.449,-4.0,17.9,3.0
795289.0,9241021.0,11.0,0.198,11.115,3.076,5175.01,1.0,3.0,1085.0,10.602,4.0,18.0,3.0
794446.0,9239107.0,11.0,0.56,9.664,3.121,5072.959,1.0,3.0,900.0,5.457,0.0,18.0,3.0
780004.0,9205967.0,6.0,0.0,3.238,3.223,3349.908,1.0,2.0,1461.0,11.408,5.0,18.46,3.0
778059.0,9209138.0,6.0,0.501,11.365,3.202,3402.179,5.0,2.0,1426.0,12.99,2.0,20.0,3.0
804146.0,9212692.0,3.0,0.102,16.254,3.543,3764.896,1.0,2.0,974.0,6.608,0.0,20.0,3.0
805853.0,9218248.0,3.0,0.0,4.574,3.696,3985.651,1.0,2.0,730.0,7.467,0.0,20.0,3.0
795113.0,9242352.0,11.0,0.4,8.985,3.082,5227.133,1.0,3.0,1281.0,4.176,0.0,20.0,3.0
776229.0,9221697.0,18.0,0.227,4.125,2.624,3889.403,4.0,3.0,814.0,6.195,1.0,20.0,3.0
775997.0,9221565.0,18.0,0.29,2.561,2.414,3880.591,4.0,3.0,820.0,10.553,3.0,20.0,3.0
778436.0,9223349.0,18.0,0.397,7.209,2.115,4005.885,4.0,3.0,745.0,7.93,-3.0,20.0,3.0
